,rider_id,no_of_orders,age,average_rating,no_of_ratings
0,396,2946,2298,14.0,1159
1,479,360,951,13.5,176
2,648,1746,821,14.3,466
3,753,314,980,12.5,75
4,335,536,1113,13.7,156
5,720,2608,1798,13.2,504
6,95,3464,1304,13.4,950
7,122,4831,2124,14.1,1469
8,900,1936,1436,14.2,610
9,196,550,2379,13.4,224
10,606,2711,1412,14.3,519
11,742,593,966,14.3,237
12,101,1299,986,13.1,287
13,650,4375,2362,14.4,1152
14,131,2183,887,14.1,393
15,294,5780,2625,13.5,246
16,350,575,2068,13.3,184
17,676,2095,1358,14.1,667
18,633,929,1070,13.6,258
19,865,2178,1010,14.1,746
20,791,688,1021,13.9,216
21,408,2212,1447,14.2,542
22,406,2853,1618,14.2,1030
23,236,431,1067,13.4,159
24,397,2169,1236,14.2,589
25,589,2295,1166,14.2,596
26,906,3571,1236,14.2,968
27,432,1637,1309,13.8,549
28,757,2101,1066,12.3,229
29,264,2691,2519,13.9,886
30,761,1638,934,13.7,413
31,219,1672,1244,13.8,477
32,340,3579,1286,13.4,963
33,89,2208,1281,14.0,585
34,409,2058,1046,14.1,652
35,493,4705,2154,14.1,1511
36,486,5538,1634,14.2,2226
37,586,4634,2173,14.0,800
38,543,721,984,13.8,161
39,6,2959,1156,14.1,655
40,581,3529,1218,13.4,905
41,347,2451,1821,14.0,1101
42,103,680,982,14.0,207
43,241,213,1012,14.0,76
44,437,2966,2053,14.0,1147
45,618,414,985,13.4,139
46,580,2782,1629,14.2,934
47,74,1830,982,14.3,423
48,644,4663,1924,14.2,1403
49,312,390,986,14.0,142
50,929,2823,2296,13.9,1159
51,813,2728,1359,14.2,845
52,923,1665,1527,14.1,599
53,56,2866,1788,13.2,533
54,345,3036,1426,14.2,955
55,663,4342,2634,14.4,1048
56,549,560,981,13.4,164
57,124,3288,1204,14.2,1056
58,147,2486,806,14.1,516
59,207,2180,1021,14.1,661
60,45,1988,972,14.3,358
61,279,2312,1082,14.1,370
62,531,2222,1162,14.0,574
63,16,4315,2408,14.3,1181
64,446,2761,1749,13.2,673
65,668,2305,703,13.1,91
66,100,362,910,13.4,109
67,771,2146,1179,14.2,557
68,449,2104,1149,14.3,525
69,425,6569,2170,14.2,1983
70,692,4933,1638,14.2,1086
71,916,4966,3225,13.4,1210
72,410,2087,1019,13.7,362
73,290,4214,1850,14.2,1096
74,268,1714,1980,13.2,357
75,159,243,911,14.1,84
76,266,4285,1392,14.2,1162
77,285,78,987,13.7,37
78,671,5713,1636,14.2,2255
79,940,2713,1613,14.1,865
80,265,4371,1133,14.2,1262
81,729,125,940,13.5,48
82,338,2305,944,13.9,449
83,948,1895,1390,12.3,213
84,762,5230,1951,14.1,1528
85,765,921,985,13.5,192
86,153,233,982,13.9,85
87,658,3906,2215,14.5,714
88,779,5525,2145,13.7,1364
89,522,4321,1323,14.2,1259
90,304,4861,2898,13.4,1156
91,223,4655,3202,13.4,1223
92,751,1982,1211,13.8,482
93,478,1912,2245,14.3,581
94,874,2865,1494,14.2,843
95,789,4681,1908,14.1,1428
96,875,2719,1509,13.3,534
97,886,2728,1474,14.2,849
98,280,2466,854,13.8,353
99,654,3453,1063,13.3,831
100,358,4687,2445,14.0,782
101,937,2568,966,14.1,351
102,881,2187,853,13.1,60
103,216,2087,1033,14.1,641
104,749,283,986,13.9,104
105,521,5523,2234,13.6,1265
106,510,6571,2478,13.9,2116
107,65,3054,1527,13.9,995
108,737,2751,2639,13.9,655
109,942,5082,1525,14.2,1064
110,608,5538,2642,13.5,255
111,912,2678,2478,13.9,926
112,226,1617,2254,13.8,304
113,782,308,971,13.8,114
114,546,2848,2272,13.9,1053
115,631,5315,1942,14.2,1340
116,535,4603,2360,14.3,1242
117,733,2203,1260,14.5,645
118,620,1383,957,14.0,265
119,669,6728,2702,13.9,2027
120,798,2920,1482,13.9,1015
121,541,4365,1457,13.9,1222
122,571,4780,1716,14.1,1087
123,421,1951,1227,12.9,579
124,544,2142,952,13.7,491
125,217,3595,2094,14.2,960
126,949,551,1065,13.2,176
127,248,3166,1173,14.1,707
128,698,2273,1239,14.0,624
129,805,4531,1862,14.2,1455
130,84,2919,1960,13.9,1215
131,651,2083,1123,13.8,401
132,355,3032,1444,13.9,1047
133,105,1875,900,14.3,442
134,379,1601,1337,13.7,441
135,895,3068,1229,14.1,779
136,123,2458,1192,13.8,525
137,777,3053,1976,13.9,1159
138,297,1787,1189,13.9,416
139,247,2481,752,14.3,322
140,173,2086,1186,12.3,158
141,727,2976,2311,13.7,770
142,188,3837,2018,14.1,786
