,order_id,user_id,platform,personal_or_business,placement_date,placement_weekday,placement_time,confirm_date,confirm_weekday,confirm_time,arrival_pickup_date,arrive_pickup_weekday,arrive_time,pickup_date,pickup_weekday,pickup_time,arrival_dest_date,arrival_dest_weekday,arrival_dest_time,distance,temperature,pickup_lat,pickup_long,dest_lat,dest_long,rider_id,pickup_to_arrival_time,placement_to_confirm_time,confirm_to_pickup_time
0,4211,633,3,Business,9,5,34546,9,5,34810,9,5,36287,9,5,37650,9,5,38395,4,20.4,-1.3177547,36.8303703,-1.3004062,36.829741,432,745,264,2840
1,25375,2285,3,Personal,12,5,40576,12,5,41001,12,5,42022,12,5,42249,12,5,44242,16,26.4,-1.351453,36.899315,-1.2950041,36.8143583,856,1993,425,1248
2,1899,265,3,Business,30,2,45565,30,2,45764,30,2,46174,30,2,46383,30,2,46838,3,23.25888921888938,-1.3082842,36.8434194,-1.300921,36.828195,155,455,199,619
3,9336,1402,3,Business,15,5,33934,15,5,33965,15,5,34676,15,5,34986,15,5,36327,9,19.2,-1.2813012,36.8323962,-1.2571472,36.7950633,855,1341,31,1021
4,27883,1737,1,Personal,13,1,35718,13,1,35778,13,1,36233,13,1,36323,13,1,37537,9,15.4,-1.2665974,36.7921181,-1.2950408,36.8098172,770,1214,60,545
5,7408,1342,3,Business,14,5,54455,14,5,54537,14,5,55296,14,5,55830,14,5,59021,9,27.2,-1.3025826,36.7670807,-1.257309,36.8060084,124,3191,82,1293
6,22680,2803,3,Business,9,5,34425,9,5,35387,9,5,35592,9,5,35805,9,5,37185,5,20.3,-1.279395,36.825364,-1.2765736,36.8513646,114,1380,962,418
7,21578,1075,3,Business,11,1,51181,11,1,51253,11,1,51693,11,1,51760,11,1,52406,3,28.7,-1.2527958,36.8003131,-1.2551895,36.7822034,913,646,72,507
8,5234,733,3,Business,30,2,40244,30,2,40549,30,2,43998,30,2,44577,30,2,47975,9,23.25888921888938,-1.2551895,36.7822034,-1.3002554,36.8256566,394,3398,305,4028
9,1768,2112,3,Business,23,5,60534,23,5,62276,23,5,63161,23,5,63278,23,5,66717,14,24.6,-1.225322,36.80855,-1.2156006,36.8916865,660,3439,1742,1002
10,823,2820,3,Personal,15,3,33817,15,3,34287,15,3,36628,15,3,36893,15,3,37949,9,16.4,-1.3291184,36.7892374,-1.2903421,36.7885282,208,1056,470,2606
11,2533,704,1,Business,2,2,56600,2,2,56656,2,2,57558,2,2,58647,2,2,62545,17,26.1,-1.2584143,36.8048002,-1.2860183,36.8975338,937,3898,56,1991
